corpus	chunk	raw	stateless_best	fold	order0	order1_tok	order1_byte	blend	norec_order1_tok	norec_blend	grammar	grammar_norec	model_bytes	create_ms
precompressed	4096	2097189	2100267	2232993	2130222	2110158	2108030	2109224	2110082	2109151	2100267	2100267	9230512	7
precompressed	16384	2097189	2097963	2136536	2112733	2122920	2111036	2115519	2111552	2103778	2097963	2097963	9230512	4
precompressed	65536	2097189	2097387	2182970	2168612	2448380	2128311	2476731	2128443	2110099	2097387	2097387	9230512	3
precompressed	262144	2097189	2097243	2122115	2118280	2336737	2136404	2394742	2136440	2128208	2097243	2097243	9230512	2
random	4096	1048576	1050112	1116351	1065082	1055047	1053988	1054577	1055012	1054543	1050112	1050112	9230512	2
random	16384	1048576	1048960	1068125	1056346	1061446	1055491	1057745	1055747	1051861	1048960	1048960	9230512	1
random	65536	1048576	1048672	1091337	1084278	1224163	1064131	1238329	1064195	1055020	1048672	1048672	9230512	1
random	262144	1048576	1048600	1060909	1059112	1168342	1068175	1197332	1068191	1064076	1048600	1048600	9230512	1
table	4096	9128841	3180611	3820244	3180611	3486246	5368650	3489991	5377566	5345513	2385578	3180611	13203044	12090
table	16384	9128841	2426008	2664711	2426008	2531325	4128380	2538448	4130612	3964361	2076696	2426008	17825340	13720
table	65536	9128841	1912308	1980731	1912308	1982906	3366785	2006797	3367345	3008739	1912478	1912308	10056712	26715
table	262144	9128841	1761891	1781834	1765114	1779826	3016687	1800329	3016827	2472150	1751127	1761891	18166192	25192
text-large	4096	1375929	805987	937209	805987	824389	907907	824992	909251	913526	411859	560308	10879156	1899
text-large	16384	1375929	526909	568597	526909	542111	735709	543865	736045	727200	375046	526909	11806072	2083
text-large	65536	1375929	411747	422016	411747	418406	629922	422104	630006	582922	412002	411747	10400176	3776
text-large	262144	1375929	374328	384104	380869	374513	580190	376170	580214	479544	374328	374328	10393008	4250
tiny	4096	1	7	275	20	20	16	20	20	20	7	7	9230512	1
tiny	16384	1	7	275	20	20	16	20	20	20	7	7	9230512	0
tiny	65536	1	7	275	20	20	16	20	20	20	7	7	9230512	1
tiny	262144	1	7	275	20	20	16	20	20	20	7	7	9230512	0
