corpus	chunk	raw	stateless_best	fold	order0	order1_tok	order1_byte	blend	norec_order1_tok	norec_blend	grammar	grammar_norec	model_bytes	create_ms
precompressed	4096	2097189	2100267	2232993	2130222	2110158	2108030	2109221	2110082	2109148	2100267	2100267	9509168	7
precompressed	16384	2097189	2097963	2136536	2112733	2122922	2111036	2115519	2111552	2103780	2097963	2097963	9509168	4
precompressed	65536	2097189	2097387	2182970	2168612	2449294	2128311	2476737	2128443	2110100	2097387	2097387	9509168	2
precompressed	262144	2097189	2097243	2122115	2118280	2337651	2136404	2396713	2136440	2128210	2097243	2097243	9509168	3
random	4096	1048576	1050112	1116351	1065082	1055047	1053988	1054576	1055012	1054542	1050112	1050112	9509168	2
random	16384	1048576	1048960	1068125	1056346	1061447	1055491	1057745	1055747	1051860	1048960	1048960	9509168	1
random	65536	1048576	1048672	1091337	1084278	1224620	1064131	1238330	1064195	1055020	1048672	1048672	9509168	1
random	262144	1048576	1048600	1060909	1059112	1168798	1068175	1198297	1068191	1064077	1048600	1048600	9509168	1
table	4096	9128841	3180611	3820244	3180611	3519505	5368650	3523021	5377566	5345512	2355059	3180611	13582420	11980
table	16384	9128841	2426008	2664711	2426008	2550949	4128380	2558562	4130612	3964365	2076440	2426008	18322524	12786
table	65536	9128841	1912308	1980731	1912308	2008308	3366785	2033099	3367345	3008739	1912502	1912308	10355976	26606
table	262144	9128841	1764379	1781834	1765114	1796219	3016687	1816682	3016827	2472149	1760940	1764379	17332832	24981
text-large	4096	1375929	805987	937209	805987	826576	907907	827172	909251	913528	411471	560308	11198300	1807
text-large	16384	1375929	526909	568597	526909	546592	735709	548578	736045	727201	376231	526909	12148600	2082
text-large	65536	1375929	411747	422016	411747	424405	629922	429135	630006	582925	411747	411747	9509168	5221
text-large	262144	1375929	376275	384104	380869	376715	580190	379109	580214	479546	376275	376275	10702384	4171
tiny	4096	1	7	275	20	20	16	20	20	20	7	7	9509168	0
tiny	16384	1	7	275	20	20	16	20	20	20	7	7	9509168	0
tiny	65536	1	7	275	20	20	16	20	20	20	7	7	9509168	0
tiny	262144	1	7	275	20	20	16	20	20	20	7	7	9509168	0
