input	chunk	run	mode	bytes	alph_size	table_bits	payload_bits	total_bits	total_bytes	arith_bytes	ratio	encode_us	decode_us	ok
table.csv	0	0	tans-lit	1048576	41	1336	4763814	4765264	595658	596075	0.999300	29112	14665	1
table.csv	0	1	tans-lit	1048576	41	1336	4763814	4765264	595658	596075	0.999300	29324	14880	1
table.csv	0	2	tans-lit	1048576	41	1336	4763814	4765264	595658	596075	0.999300	29085	15007	1
table.csv	0	0	arith-lit	1048576	0	0	4768488	4768600	596075	596075	1.000000	19633	50593	1
table.csv	0	1	arith-lit	1048576	0	0	4768488	4768600	596075	596075	1.000000	19232	50727	1
table.csv	0	2	arith-lit	1048576	0	0	4768488	4768600	596075	596075	1.000000	18975	49399	1
table.csv	0	0	tans-tok	1048576	1013	32440	2356483	2421808	302726	297854	1.016357	8978	5120	1
table.csv	0	1	tans-tok	1048576	1013	32440	2356483	2421808	302726	297854	1.016357	9927	5035	1
table.csv	0	2	tans-tok	1048576	1013	32440	2356483	2421808	302726	297854	1.016357	8851	5024	1
table.csv	0	0	arith-tok	1048576	0	0	2349952	2382832	297854	297854	1.000000	6586	16160	1
table.csv	0	1	arith-tok	1048576	0	0	2349952	2382832	297854	297854	1.000000	6917	16079	1
table.csv	0	2	arith-tok	1048576	0	0	2349952	2382832	297854	297854	1.000000	6426	15975	1
table.csv	0	0	tans-recut	278969	256	8216	2204143	2212424	276553	278969	0.991340	10139	5583	1
table.csv	0	1	tans-recut	278969	256	8216	2204143	2212424	276553	278969	0.991340	10450	4701	1
table.csv	0	2	tans-recut	278969	256	8216	2204143	2212424	276553	278969	0.991340	9654	4420	1
table.csv	1	0	tans-lit	1048576	33	1080	4753591	4754784	594348	595149	0.998654	31562	13902	1
table.csv	1	1	tans-lit	1048576	33	1080	4753591	4754784	594348	595149	0.998654	28819	14085	1
table.csv	1	2	tans-lit	1048576	33	1080	4753591	4754784	594348	595149	0.998654	29165	14022	1
table.csv	1	0	arith-lit	1048576	0	0	4761080	4761192	595149	595149	1.000000	24431	55656	1
table.csv	1	1	arith-lit	1048576	0	0	4761080	4761192	595149	595149	1.000000	21886	55931	1
table.csv	1	2	arith-lit	1048576	0	0	4761080	4761192	595149	595149	1.000000	21818	56218	1
table.csv	1	0	tans-tok	1048576	960	30744	2317014	2380640	297580	293323	1.014513	9161	5455	1
table.csv	1	1	tans-tok	1048576	960	30744	2317014	2380640	297580	293323	1.014513	10282	5710	1
table.csv	1	2	tans-tok	1048576	960	30744	2317014	2380640	297580	293323	1.014513	9947	5652	1
table.csv	1	0	arith-tok	1048576	0	0	2313704	2346584	293323	293323	1.000000	6196	16034	1
table.csv	1	1	arith-tok	1048576	0	0	2313704	2346584	293323	293323	1.000000	6233	15380	1
table.csv	1	2	arith-tok	1048576	0	0	2313704	2346584	293323	293323	1.000000	6205	15362	1
table.csv	1	0	tans-recut	220356	256	8216	1723085	1731368	216421	220356	0.982143	7112	3029	1
table.csv	1	1	tans-recut	220356	256	8216	1723085	1731368	216421	220356	0.982143	6407	3050	1
