input	mode	alph size	table bits	payload bits	total bytes	arith_bytes	delta_bytes	delta_%	encode_ms	decode_ms	ok
in.bin	arith-lit	0	0	25173576	3146739	3146739	0	0.0000	24.175	54.875	1
in.bin	arith-tok	0	0	25253904	3169068	3169068	0	0.0000	22.867	60.490	1
in.bin	tans-lit	256	24648	25165749	3148842	3146739	2103	0.0668	32.513	14.260	1
in.bin	tans-recut	256	24648	25165893	3148842	3145746	3096	0.0984	29.271	12.698	1
in.bin	tans-tok	1280	122952	26040957	3282819	3169068	113751	3.5894	28.844	13.471	1
large.txt	arith-lit	0	0	18117840	2264814	2264814	0	0.0000	20.526	51.559	1
large.txt	arith-tok	0	0	7598016	974412	974412	0	0.0000	5.276	13.329	1
large.txt	tans-lit	68	13200	18099045	2264118	2264814	-696	-0.0307	29.251	15.378	1
large.txt	tans-recut	256	49296	7785747	979431	974412	5019	0.5151	8.702	3.763	1
large.txt	tans-tok	919	170064	7585728	994137	974412	19725	2.0243	7.108	3.974	1
random.bin	arith-lit	0	0	25173576	3146739	3146739	0	0.0000	25.341	55.975	1
random.bin	arith-tok	0	0	25253904	3169068	3169068	0	0.0000	26.907	64.255	1
random.bin	tans-lit	256	24648	25165749	3148842	3146739	2103	0.0668	33.380	14.539	1
random.bin	tans-recut	256	24648	25165893	3148842	3145746	3096	0.0984	32.508	15.132	1
random.bin	tans-tok	1280	122952	26040957	3282819	3169068	113751	3.5894	33.396	15.691	1
table.csv	arith-lit	0	0	127495440	15937308	15937308	0	0.0000	18.266	50.727	1
table.csv	arith-tok	0	0	39555048	5055351	5055351	0	0.0000	3.106	7.920	1
table.csv	tans-lit	45	33960	127316925	15919251	15937308	-18057	-0.1133	29.085	13.985	1
table.csv	tans-recut	256	221832	36602100	4603218	4614765	-11547	-0.2502	4.195	1.905	1
table.csv	tans-tok	1013	789480	39545484	5152851	5055351	97500	1.9286	4.990	3.096	1
z.zst	arith-lit	0	0	25174536	3146901	3146901	0	0.0000	21.493	51.709	1
z.zst	arith-tok	0	0	25254888	3169233	3169233	0	0.0000	22.827	60.171	1
z.zst	tans-lit	256	27696	25166325	3149337	3146901	2436	0.0774	28.773	11.991	1
z.zst	tans-recut	256	27984	25166568	3149370	3145875	3495	0.1111	28.559	12.734	1
z.zst	tans-tok	1280	126000	26041455	3283305	3169233	114072	3.5994	29.460	13.068	1
