corpus	raw	size	create_ms	extract_ms	ratio	ok
empty/7z9	0	90	15	14	1.0000	true
empty/aahl	0	101	17	9	1.0000	true
empty/rar	0	73	36	30	1.0000	true
empty/xz	0	32	9	12	1.0000	true
empty/zip6	0	152	60	15	1.0000	true
empty/zstd	0	13	9	10	1.0000	true
precompressed/7z9	2097189	1049543	125	25	0.5005	true
precompressed/aahl	2097189	2097334	37	14	1.0001	true
precompressed/rar	2097189	2097440	114	35	1.0001	true
precompressed/xz	2097189	2097428	447	14	1.0001	true
precompressed/zip6	2097189	2097457	64	24	1.0001	true
precompressed/zstd	2097189	2097266	200	14	1.0000	true
random/7z9	1048576	1048773	92	22	1.0002	true
random/aahl	1048576	1048678	27	10	1.0001	true
random/rar	1048576	1048736	81	37	1.0002	true
random/xz	1048576	1048696	242	12	1.0001	true
random/zip6	1048576	1048730	54	22	1.0001	true
random/zstd	1048576	1048613	106	12	1.0000	true
table/7z9	9128841	1393151	2988	91	0.1526	true
table/aahl	9128841	1674390	50722	234	0.1834	true
table/rar	9128841	1681802	547	55	0.1842	true
table/xz	9128841	1395056	5484	78	0.1528	true
table/zip6	9128841	1688084	1517	60	0.1849	true
table/zstd	9128841	1508699	6513	27	0.1653	true
text-large/7z9	1375929	387951	315	32	0.2820	true
text-large/aahl	1375929	324987	17056	48	0.2362	true
text-large/rar	1375929	415968	108	37	0.3023	true
text-large/xz	1375929	388208	567	22	0.2821	true
text-large/zip6	1375929	443597	280	31	0.3224	true
text-large/zstd	1375929	392441	504	13	0.2852	true
tiny/7z9	1	127	15	14	127.0000	true
tiny/aahl	1	100	19	7	100.0000	true
tiny/rar	1	72	36	30	72.0000	true
tiny/xz	1	68	10	9	68.0000	true
tiny/zip6	1	149	15	14	149.0000	true
tiny/zstd	1	14	9	9	14.0000	true
