corpus	lane	aahl_size	blake3	sha256
empty	v4	101	f096d90c3f93542e39fdde1fe8a6dcf6870f14652992b03d9cf1f0fa93f69b9a	DD9FE476A6A8947DAB62E84BA9B2A167EDED5FAD85BE3267B8F952B34DBB3747
empty	v5	101	f096d90c3f93542e39fdde1fe8a6dcf6870f14652992b03d9cf1f0fa93f69b9a	DD9FE476A6A8947DAB62E84BA9B2A167EDED5FAD85BE3267B8F952B34DBB3747
precompressed	v4	2097334	f12a3ffea73a30618a9a83e2130c34daef88fd89ba9c7259b4f5db4d2336aa6a	57D8683352E165355EB77A67DBF9A0BD57CACD9FF41BB368A778EF76B88B2CC3
precompressed	v5	2097334	f12a3ffea73a30618a9a83e2130c34daef88fd89ba9c7259b4f5db4d2336aa6a	57D8683352E165355EB77A67DBF9A0BD57CACD9FF41BB368A778EF76B88B2CC3
random	v4	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	F658B8A5F072845C049B2BF9A49CDFFE1142920E49F6571CDB6D8B938E7FD262
random	v5	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	F658B8A5F072845C049B2BF9A49CDFFE1142920E49F6571CDB6D8B938E7FD262
table	v4	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	27C702808725794283CDAFAD84019CDCE4625E04D6CF591D44F93AE454B2CF59
table	v5	1538846	f368280196eef73b15cc9d763c6f029fc2583eeb5fccd975ee10bf8e14bfe2d0	19E8AA4E4C204CEEA6D7CF0F8E6E677A7406BC5913814EE9B199622FD4E86B4D
text-large	v4	324987	23e5f429be91a43c528852a26d633f188f4d69d19d243f2113e37dcdc8a72386	8BA29F78094A9C6913F361F8FA95F108985F12952A1A165B715BD6C795DAA1D4
text-large	v5	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	ABE9F1BDCC483A32A93290F2E52B693C4AD917E34AD786F1D712FD3D150C1FC9
tiny	v4	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	32208631BDE331C1B90DF74633C2CC042FDD4F71140C1C8F7B640F3436B34D1B
tiny	v5	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	32208631BDE331C1B90DF74633C2CC042FDD4F71140C1C8F7B640F3436B34D1B
