corpus	raw	size	create_ms	extract_ms	ratio	ok
empty/7z9	0	130	14	14	1.0000	true
empty/aahl-v5	0	101	18	8	1.0000	true
empty/rar	0	73	36	30	1.0000	true
empty/xz	0	32	10	9	1.0000	true
empty/zip6	0	186	15	25	1.0000	true
empty/zstd	0	13	9	9	1.0000	true
precompressed/7z9	2097189	1049583	116	25	0.5005	true
precompressed/aahl-v5	2097189	2097334	30	13	1.0001	true
precompressed/rar	2097189	2097440	109	35	1.0001	true
precompressed/xz	2097189	2097428	461	16	1.0001	true
precompressed/zip6	2097189	2097557	50	24	1.0002	true
precompressed/zstd	2097189	2097266	207	15	1.0000	true
random/7z9	1048576	1048805	83	21	1.0002	true
random/aahl-v5	1048576	1048678	23	10	1.0001	true
random/rar	1048576	1048736	83	34	1.0002	true
random/xz	1048576	1048696	244	13	1.0001	true
random/zip6	1048576	1048766	45	22	1.0002	true
random/zstd	1048576	1048613	100	11	1.0000	true
table/7z9	9128841	1393191	2586	86	0.1526	true
table/aahl-v5	9128841	1538846	151164	168	0.1686	true
table/rar	9128841	1681802	534	60	0.1842	true
table/xz	9128841	1395056	4910	80	0.1528	true
table/zip6	9128841	1688118	1306	69	0.1849	true
table/zstd	9128841	1508699	6541	28	0.1653	true
text-large/7z9	1375929	387999	303	33	0.2820	true
text-large/aahl-v5	1375929	324987	16063	48	0.2362	true
text-large/rar	1375929	415968	107	38	0.3023	true
text-large/xz	1375929	388208	588	21	0.2821	true
text-large/zip6	1375929	443641	235	43	0.3224	true
text-large/zstd	1375929	392441	513	14	0.2852	true
tiny/7z9	1	159	15	15	159.0000	true
tiny/aahl-v5	1	100	20	8	100.0000	true
tiny/rar	1	72	35	30	72.0000	true
tiny/xz	1	68	10	10	68.0000	true
tiny/zip6	1	181	15	14	181.0000	true
tiny/zstd	1	14	9	9	14.0000	true
