class	arch	file	bytes	chunks	run	lane	payload_bytes	replay_bytes	total_bytes	raw_bytes	delta_percent	changed_bytes	transform_ms	compress_ms	ok
archive	unknown	DrtmAuthTxt.wim	13227	1	0	raw-aahl	8930	0	8930	8930	0.000000	0	0	23	1
archive	unknown	DrtmAuthTxt.wim	13227	1	1	raw-aahl	8930	0	8930	8930	0.000000	0	0	23	1
archive	unknown	DrtmAuthTxt.wim	13227	1	2	raw-aahl	8930	0	8930	8930	0.000000	0	0	24	1
archive	unknown	DrtmAuthTxt.wim	13227	1	0	bcj-base0	8936	5	8941	8930	0.123180	129	0	23	1
archive	unknown	DrtmAuthTxt.wim	13227	1	1	bcj-base0	8936	5	8941	8930	0.123180	129	0	23	1
archive	unknown	DrtmAuthTxt.wim	13227	1	2	bcj-base0	8936	5	8941	8930	0.123180	129	0	23	1
archive	unknown	DrtmAuthTxt.wim	13227	1	0	bcj-x86	8943	5	8948	8930	0.201568	203	0	24	1
archive	unknown	DrtmAuthTxt.wim	13227	1	1	bcj-x86	8943	5	8948	8930	0.201568	203	0	25	1
archive	unknown	DrtmAuthTxt.wim	13227	1	2	bcj-x86	8943	5	8948	8930	0.201568	203	0	24	1
archive	unknown	DrtmAuthTxt.wim	13227	1	0	bcj-x64	8942	5	8947	8930	0.190370	193	0	25	1
archive	unknown	DrtmAuthTxt.wim	13227	1	1	bcj-x64	8942	5	8947	8930	0.190370	193	0	24	1
archive	unknown	DrtmAuthTxt.wim	13227	1	2	bcj-x64	8942	5	8947	8930	0.190370	193	0	24	1
archive	unknown	DrtmAuthTxt.wim	13227	1	0	xz-x86-9e	7852	0	7852	8930	-12.071669	0	0	23	1
archive	unknown	DrtmAuthTxt.wim	13227	1	0	zstd-x86-19	7792	0	7792	8930	-12.743561	0	0	13	1
archive	unknown	SecureBootUpdates/BucketConfidenceData.cab	10542	1	0	raw-aahl	8617	0	8617	8617	0.000000	0	0	25	1
archive	unknown	SecureBootUpdates/BucketConfidenceData.cab	10542	1	1	raw-aahl	8617	0	8617	8617	0.000000	0	0	24	1
archive	unknown	SecureBootUpdates/BucketConfidenceData.cab	10542	1	2	raw-aahl	8617	0	8617	8617	0.000000	0	0	25	1
archive	unknown	SecureBootUpdates/BucketConfidenceData.cab	10542	1	0	bcj-base0	8617	5	8622	8617	0.058025	115	0	24	1
archive	unknown	SecureBootUpdates/BucketConfidenceData.cab	10542	1	1	bcj-base0	8617	5	8622	8617	0.058025	115	0	25	1
archive	unknown	SecureBootUpdates/BucketConfidenceData.cab	10542	1	2	bcj-base0	8617	5	8622	8617	0.058025	115	0	24	1
archive	unknown	SecureBootUpdates/BucketConfidenceData.cab	10542	1	0	bcj-x86	8617	5	8622	8617	0.058025	177	0	24	1
archive	unknown	SecureBootUpdates/BucketConfidenceData.cab	10542	1	1	bcj-x86	8617	5	8622	8617	0.058025	177	0	25	1
archive	unknown	SecureBootUpdates/BucketConfidenceData.cab	10542	1	2	bcj-x86	8617	5	8622	8617	0.058025	177	0	24	1
archive	unknown	SecureBootUpdates/BucketConfidenceData.cab	10542	1	0	bcj-x64	8624	5	8629	8617	0.139260	170	0	26	1
archive	unknown	SecureBootUpdates/BucketConfidenceData.cab	10542	1	1	bcj-x64	8624	5	8629	8617	0.139260	170	0	27	1
