class	arch	lane	run	files	bytes	chunks	raw_bytes	payload_bytes	replay_bytes	total_bytes	delta_bytes	delta_percent	median_compress_ms	ok
archive	*	bcj-base0	0	8	6700483	13	6621321	6622082	40	6622122	801	0.012097	1	1
archive	*	bcj-base0	1	8	6700483	13	6621321	6622082	40	6622122	801	0.012097	1	1
archive	*	bcj-base0	2	8	6700483	13	6621321	6622082	40	6622122	801	0.012097	1	1
archive	*	bcj-x64	0	8	6700483	13	6621321	6622220	40	6622260	939	0.014181	1	1
archive	*	bcj-x64	1	8	6700483	13	6621321	6622220	40	6622260	939	0.014181	1	1
archive	*	bcj-x64	2	8	6700483	13	6621321	6622220	40	6622260	939	0.014181	1	1
archive	*	bcj-x86	0	8	6700483	13	6621321	6622077	40	6622117	796	0.012022	2	1
archive	*	bcj-x86	1	8	6700483	13	6621321	6622077	40	6622117	796	0.012022	1	1
archive	*	bcj-x86	2	8	6700483	13	6621321	6622077	40	6622117	796	0.012022	1	1
archive	*	raw-aahl	0	8	6700483	13	6621321	6621321	0	6621321	0	0.000000	1	1
archive	*	raw-aahl	1	8	6700483	13	6621321	6621321	0	6621321	0	0.000000	1	1
archive	*	raw-aahl	2	8	6700483	13	6621321	6621321	0	6621321	0	0.000000	2	1
archive	*	xz-x86-9e	0	8	6700483	13	6621321	3384792	0	3384792	-3236529	-48.880412	67	1
archive	*	zstd-x86-19	0	8	6700483	13	6621321	3377493	0	3377493	-3243828	-48.990647	24	1
archive	unknown	bcj-base0	0	8	6700483	13	6621321	6622082	40	6622122	801	0.012097	1	1
archive	unknown	bcj-base0	1	8	6700483	13	6621321	6622082	40	6622122	801	0.012097	1	1
archive	unknown	bcj-base0	2	8	6700483	13	6621321	6622082	40	6622122	801	0.012097	1	1
archive	unknown	bcj-x64	0	8	6700483	13	6621321	6622220	40	6622260	939	0.014181	1	1
archive	unknown	bcj-x64	1	8	6700483	13	6621321	6622220	40	6622260	939	0.014181	1	1
archive	unknown	bcj-x64	2	8	6700483	13	6621321	6622220	40	6622260	939	0.014181	1	1
archive	unknown	bcj-x86	0	8	6700483	13	6621321	6622077	40	6622117	796	0.012022	2	1
archive	unknown	bcj-x86	1	8	6700483	13	6621321	6622077	40	6622117	796	0.012022	1	1
archive	unknown	bcj-x86	2	8	6700483	13	6621321	6622077	40	6622117	796	0.012022	1	1
