corpus	raw	size	create_ms	extract_ms	ratio	ok
archive/7z9	16799516	13209686	970	181	0.7863	true
archive/aahl	16799516	16713208	8974	89	0.9949	true
archive/rar	16799516	13271923	483	84	0.7900	true
archive/xz	16799516	13246648	2942	155	0.7885	true
archive/zip6	16799516	14765873	186	88	0.8789	true
archive/zstd	16799516	13251492	1468	33	0.7888	true
cold-image/7z9	4496311	4301432	322	117	0.9567	true
cold-image/aahl	4496311	4403479	1755	127	0.9794	true
cold-image/rar	4496311	4340059	218	140	0.9652	true
cold-image/xz	4496311	4328364	1148	66	0.9626	true
cold-image/zip6	4496311	4356819	119	104	0.9690	true
cold-image/zstd	4496311	4323941	423	19	0.9617	true
executable/7z9	16779568	4115177	2474	213	0.2452	true
executable/aahl	16779568	8306866	165559	573	0.4951	true
executable/rar	16779568	5487223	628	173	0.3270	true
executable/xz	16779568	5289764	4268	228	0.3153	true
executable/zip6	16779568	6558201	531	165	0.3908	true
executable/zstd	16779568	5693095	4197	59	0.3393	true
installer/7z9	9534133	3498525	711	106	0.3669	true
installer/aahl	9534133	4931179	30364	233	0.5172	true
installer/rar	9534133	4115077	331	111	0.4316	true
installer/xz	9534133	4056760	1611	82	0.4255	true
installer/zip6	9534133	4288729	179	102	0.4498	true
installer/zstd	9534133	4141294	1250	32	0.4344	true
