input	chunk	run	mode	raw_bytes	total_bytes	framing_bytes	payload_bytes	model_bytes	fold_bytes	encode_us	decode_us	ok
corpus_set/empty/empty.bin	0	0	fold	0	6	6	0	0	6	0	0	1
corpus_set/empty/empty.bin	0	0	order0	0	6	6	0	0	6	0	0	1
corpus_set/empty/empty.bin	0	0	order1_tok	0	6	6	0	0	6	0	0	1
corpus_set/empty/empty.bin	0	0	order1_byte	0	6	6	0	0	6	0	0	1
corpus_set/empty/empty.bin	0	0	context	0	6	6	0	0	6	1	0	1
corpus_set/empty/empty.bin	0	1	context	0	6	6	0	0	6	0	0	1
corpus_set/empty/empty.bin	0	2	context	0	6	6	0	0	6	0	0	1
corpus_set/precompressed/in.bin	0	0	fold	65536	70220	4949	65271	0	70220	0	0	1
corpus_set/precompressed/in.bin	0	0	order0	65536	69493	3754	65739	0	70220	0	0	1
corpus_set/precompressed/in.bin	0	0	order1_tok	65536	80808	3754	77054	0	70220	0	0	1
corpus_set/precompressed/in.bin	0	0	order1_byte	65536	66521	10	66511	0	70220	0	0	1
corpus_set/precompressed/in.bin	0	0	context	65536	81143	3758	77385	0	70220	224666	44528	1
corpus_set/precompressed/in.bin	0	1	context	65536	81143	3758	77385	0	70220	242230	42831	1
corpus_set/precompressed/in.bin	0	2	context	65536	81143	3758	77385	0	70220	230141	39718	1
corpus_set/precompressed/in.bin	1	0	fold	65536	70199	4924	65275	0	70199	0	0	1
corpus_set/precompressed/in.bin	1	0	order0	65536	69474	3734	65740	0	70199	0	0	1
corpus_set/precompressed/in.bin	1	0	order1_tok	65536	80810	3734	77076	0	70199	0	0	1
corpus_set/precompressed/in.bin	1	0	order1_byte	65536	66554	10	66544	0	70199	0	0	1
corpus_set/precompressed/in.bin	1	0	context	65536	81095	3738	77357	0	70199	217123	39456	1
corpus_set/precompressed/in.bin	1	1	context	65536	81095	3738	77357	0	70199	219007	38175	1
corpus_set/precompressed/in.bin	1	2	context	65536	81095	3738	77357	0	70199	217256	39407	1
corpus_set/precompressed/in.bin	2	0	fold	65536	70521	5279	65242	0	70521	0	0	1
corpus_set/precompressed/in.bin	2	0	order0	65536	69742	4018	65724	0	70521	0	0	1
corpus_set/precompressed/in.bin	2	0	order1_tok	65536	81245	4018	77227	0	70521	0	0	1
corpus_set/precompressed/in.bin	2	0	order1_byte	65536	66480	10	66470	0	70521	0	0	1
corpus_set/precompressed/in.bin	2	0	context	65536	81609	4022	77587	0	70521	237134	39983	1
corpus_set/precompressed/in.bin	2	1	context	65536	81609	4022	77587	0	70521	236980	39308	1
corpus_set/precompressed/in.bin	2	2	context	65536	81609	4022	77587	0	70521	232992	39677	1
corpus_set/precompressed/in.bin	3	0	fold	65536	70158	4879	65279	0	70158	0	0	1
corpus_set/precompressed/in.bin	3	0	order0	65536	69439	3698	65741	0	70158	0	0	1
corpus_set/precompressed/in.bin	3	0	order1_tok	65536	80702	3698	77004	0	70158	0	0	1
corpus_set/precompressed/in.bin	3	0	order1_byte	65536	66524	10	66514	0	70158	0	0	1
corpus_set/precompressed/in.bin	3	0	context	65536	80980	3702	77278	0	70158	224048	39188	1
corpus_set/precompressed/in.bin	3	1	context	65536	80980	3702	77278	0	70158	218092	38149	1
corpus_set/precompressed/in.bin	3	2	context	65536	80980	3702	77278	0	70158	218142	39531	1
