input	mode	raw_bytes	total_bytes	framing_bytes	payload_bytes	model_bytes	delta_vs_fold_bytes	delta_vs_fold_pct	encode_ms	decode_ms	ok
corpus_set/empty/empty.bin	context	0	6	6	0	0	0	0.0000	0.000	0.000	1
corpus_set/empty/empty.bin	fold	0	6	6	0	0	0	0.0000	0.000	0.000	1
corpus_set/empty/empty.bin	order0	0	6	6	0	0	0	0.0000	0.000	0.000	1
corpus_set/empty/empty.bin	order1_byte	0	6	6	0	0	0	0.0000	0.000	0.000	1
corpus_set/empty/empty.bin	order1_tok	0	6	6	0	0	0	0.0000	0.000	0.000	1
corpus_set/precompressed/in.bin	context	1048576	1299674	61120	1238554	0	174955	15.5554	218.954	39.203	1
corpus_set/precompressed/in.bin	fold	1048576	1124719	80424	1044295	0	0	0.0000	0.000	0.000	1
corpus_set/precompressed/in.bin	order0	1048576	1112827	61056	1051771	0	-11892	-1.0573	0.000	0.000	1
corpus_set/precompressed/in.bin	order1_byte	1048576	1064131	160	1063971	0	-60588	-5.3869	0.000	0.000	1
corpus_set/precompressed/in.bin	order1_tok	1048576	1294583	61056	1233527	0	169864	15.1028	0.000	0.000	1
corpus_set/precompressed/z.zst	context	1048613	1299663	61110	1238553	0	174683	15.5277	207.179	37.646	1
corpus_set/precompressed/z.zst	fold	1048613	1124980	80663	1044317	0	0	0.0000	0.000	0.000	1
corpus_set/precompressed/z.zst	order0	1048613	1112854	61042	1051812	0	-12126	-1.0779	0.000	0.000	1
corpus_set/precompressed/z.zst	order1_byte	1048613	1064180	170	1064010	0	-60800	-5.4045	0.000	0.000	1
corpus_set/precompressed/z.zst	order1_tok	1048613	1294563	61042	1233521	0	169583	15.0743	0.000	0.000	1
corpus_set/random/random.bin	context	1048576	1299674	61120	1238554	0	174955	15.5554	198.256	33.869	1
corpus_set/random/random.bin	fold	1048576	1124719	80424	1044295	0	0	0.0000	0.000	0.000	1
corpus_set/random/random.bin	order0	1048576	1112827	61056	1051771	0	-11892	-1.0573	0.000	0.000	1
corpus_set/random/random.bin	order1_byte	1048576	1064131	160	1063971	0	-60588	-5.3869	0.000	0.000	1
corpus_set/random/random.bin	order1_tok	1048576	1294583	61056	1233527	0	169864	15.1028	0.000	0.000	1
corpus_set/table/table.csv	context	9128841	2086628	448264	1638364	0	5486	0.2636	102.838	8.635	1
corpus_set/table/table.csv	fold	9128841	2081142	595540	1485602	0	0	0.0000	0.000	0.000	1
corpus_set/table/table.csv	order0	9128841	1978863	447704	1531159	0	-102279	-4.9146	0.000	0.000	1
corpus_set/table/table.csv	order1_byte	9128841	3366785	1400	3365385	0	1285643	61.7758	0.000	0.000	1
corpus_set/table/table.csv	order1_tok	9128841	2045779	447704	1598075	0	-35363	-1.6992	0.000	0.000	1
corpus_set/text-large/large.txt	context	1375929	432237	64222	368015	0	20655	5.0184	158.618	11.143	1
corpus_set/text-large/large.txt	fold	1375929	411582	85559	326023	0	0	0.0000	0.000	0.000	1
corpus_set/text-large/large.txt	order0	1375929	397483	64138	333345	0	-14099	-3.4256	0.000	0.000	1
corpus_set/text-large/large.txt	order1_byte	1375929	629922	210	629712	0	218340	53.0490	0.000	0.000	1
corpus_set/text-large/large.txt	order1_tok	1375929	413051	64138	348913	0	1469	0.3569	0.000	0.000	1
corpus_set/tiny/one.bin	context	1	24	18	6	0	-251	-91.2727	0.595	0.599	1
corpus_set/tiny/one.bin	fold	1	275	274	1	0	0	0.0000	0.000	0.000	1
corpus_set/tiny/one.bin	order0	1	20	14	6	0	-255	-92.7273	0.000	0.000	1
corpus_set/tiny/one.bin	order1_byte	1	16	10	6	0	-259	-94.1818	0.000	0.000	1
corpus_set/tiny/one.bin	order1_tok	1	20	14	6	0	-255	-92.7273	0.000	0.000	1
src/aahl.rs	context	51700	17863	4114	13749	0	-376	-2.0615	142.859	13.892	1
src/aahl.rs	fold	51700	18239	5394	12845	0	0	0.0000	0.000	0.000	1
src/aahl.rs	order0	51700	17321	4110	13211	0	-918	-5.0332	0.000	0.000	1
src/aahl.rs	order1_byte	51700	25757	10	25747	0	7518	41.2194	0.000	0.000	1
src/aahl.rs	order1_tok	51700	17599	4110	13489	0	-640	-3.5090	0.000	0.000	1
src/ablation.rs	context	13565	6253	1874	4379	0	-289	-4.4176	20.062	5.278	1
src/ablation.rs	fold	13565	6542	2594	3948	0	0	0.0000	0.000	0.000	1
src/ablation.rs	order0	13565	6014	1870	4144	0	-528	-8.0709	0.000	0.000	1
src/ablation.rs	order1_byte	13565	7936	10	7926	0	1394	21.3085	0.000	0.000	1
src/ablation.rs	order1_tok	13565	6194	1870	4324	0	-348	-5.3195	0.000	0.000	1
src/ansbench.rs	context	18823	7637	2346	5291	0	-404	-5.0243	33.239	6.685	1
src/ansbench.rs	fold	18823	8041	3184	4857	0	0	0.0000	0.000	0.000	1
src/ansbench.rs	order0	18823	7428	2342	5086	0	-613	-7.6234	0.000	0.000	1
src/ansbench.rs	order1_byte	18823	10083	10	10073	0	2042	25.3949	0.000	0.000	1
src/ansbench.rs	order1_tok	18823	7558	2342	5216	0	-483	-6.0067	0.000	0.000	1
src/arith.rs	context	48104	16383	4114	12269	0	-391	-2.3310	136.898	15.907	1
src/arith.rs	fold	48104	16774	5394	11380	0	0	0.0000	0.000	0.000	1
src/arith.rs	order0	48104	15851	4110	11741	0	-923	-5.5026	0.000	0.000	1
src/arith.rs	order1_byte	48104	23946	10	23936	0	7172	42.7566	0.000	0.000	1
src/arith.rs	order1_tok	48104	16139	4110	12029	0	-635	-3.7856	0.000	0.000	1
src/bench.rs	context	24294	8862	3382	5480	0	-634	-6.6765	54.006	10.380	1
src/bench.rs	fold	24294	9496	4479	5017	0	0	0.0000	0.000	0.000	1
src/bench.rs	order0	24294	8668	3378	5290	0	-828	-8.7195	0.000	0.000	1
src/bench.rs	order1_byte	24294	12259	10	12249	0	2763	29.0965	0.000	0.000	1
src/bench.rs	order1_tok	24294	8804	3378	5426	0	-692	-7.2873	0.000	0.000	1
src/binning.rs	context	4285	2494	834	1660	0	-223	-8.2076	4.494	2.113	1
src/binning.rs	fold	4285	2717	1294	1423	0	0	0.0000	0.000	0.000	1
src/binning.rs	order0	4285	2373	830	1543	0	-344	-12.6610	0.000	0.000	1
src/binning.rs	order1_byte	4285	2809	10	2799	0	92	3.3861	0.000	0.000	1
src/binning.rs	order1_tok	4285	2468	830	1638	0	-249	-9.1645	0.000	0.000	1
src/context.rs	context	12131	5000	1774	3226	0	-385	-7.1495	15.905	4.230	1
src/context.rs	fold	12131	5385	2469	2916	0	0	0.0000	0.000	0.000	1
src/context.rs	order0	12131	4867	1770	3097	0	-518	-9.6193	0.000	0.000	1
src/context.rs	order1_byte	12131	6990	10	6980	0	1605	29.8050	0.000	0.000	1
src/context.rs	order1_tok	12131	4962	1770	3192	0	-423	-7.8552	0.000	0.000	1
