domain	prefix_bytes	lane	size	ratio
prose	1024	aahl-nodict	991	0.9678
prose	1024	aahl-dict	483	0.4717
prose	1024	zstd-nodict	549	0.5361
prose	1024	zstd-dict	332	0.3242
prose	4096	aahl-nodict	2656	0.6484
prose	4096	aahl-dict	1338	0.3267
prose	4096	zstd-nodict	1715	0.4187
prose	4096	zstd-dict	1216	0.2969
prose	16384	aahl-nodict	6886	0.4203
prose	16384	aahl-dict	4679	0.2856
prose	16384	zstd-nodict	5950	0.3632
prose	16384	zstd-dict	4703	0.2870
prose	65536	aahl-nodict	19719	0.3009
prose	65536	aahl-dict	17567	0.2681
prose	65536	zstd-nodict	21870	0.3337
prose	65536	zstd-dict	18672	0.2849
prose	102400	aahl-nodict	31565	0.3083
prose	102400	aahl-dict	27099	0.2646
prose	102400	zstd-nodict	33155	0.3238
prose	102400	zstd-dict	29128	0.2845
table	1024	aahl-nodict	695	0.6787
table	1024	aahl-dict	697	0.6807
table	1024	zstd-nodict	312	0.3047
table	1024	zstd-dict	204	0.1992
table	4096	aahl-nodict	1487	0.3630
table	4096	aahl-dict	1403	0.3425
table	4096	zstd-nodict	782	0.1909
table	4096	zstd-dict	663	0.1619
table	16384	aahl-nodict	3878	0.2367
table	16384	aahl-dict	3774	0.2303
table	16384	zstd-nodict	2506	0.1530
table	16384	zstd-dict	2396	0.1462
table	65536	aahl-nodict	11134	0.1699
table	65536	aahl-dict	11175	0.1705
table	65536	zstd-nodict	9025	0.1377
table	65536	zstd-dict	8887	0.1356
table	102400	aahl-nodict	17611	0.1720
table	102400	aahl-dict	17652	0.1724
table	102400	zstd-nodict	13926	0.1360
table	102400	zstd-dict	13708	0.1339
code	1024	aahl-nodict	931	0.9092
code	1024	aahl-dict	587	0.5732
code	1024	zstd-nodict	535	0.5225
code	1024	zstd-dict	339	0.3311
code	4096	aahl-nodict	2332	0.5693
code	4096	aahl-dict	1566	0.3823
code	4096	zstd-nodict	1336	0.3262
code	4096	zstd-dict	1025	0.2502
code	16384	aahl-nodict	7149	0.4363
code	16384	aahl-dict	5786	0.3531
code	16384	zstd-nodict	4644	0.2834
code	16384	zstd-dict	3786	0.2311
code	65536	aahl-nodict	23047	0.3517
code	65536	aahl-dict	20803	0.3174
code	65536	zstd-nodict	16006	0.2442
code	65536	zstd-dict	13891	0.2120
code	102400	aahl-nodict	36307	0.3546
code	102400	aahl-dict	31891	0.3114
code	102400	zstd-nodict	23453	0.2290
code	102400	zstd-dict	20811	0.2032
