domain	train_bytes	heldout_bytes	lane	size	ratio	create_ms	extract_ms	dict_bytes
prose	786432	589497	aahl-nodict	172861	0.2932	2987	32	0
prose	786432	589497	aahl-dict	146817	0.2491	1571	47	3233
prose	786432	589497	zstd-nodict	172820	0.2932	201	12	0
prose	786432	589497	zstd-dict	165079	0.2800	349	13	713936
table	5439488	3689353	aahl-nodict	616051	0.1670	25956	68	0
table	5439488	3689353	aahl-dict	598703	0.1623	23068	101	6537
table	5439488	3689353	zstd-nodict	468090	0.1269	1955	17	0
table	5439488	3689353	zstd-dict	464243	0.1258	2233	16	1400000
code	262144	212146	aahl-nodict	75123	0.3541	1236	29	0
code	262144	212146	aahl-dict	68560	0.3232	835	54	6781
code	262144	212146	zstd-nodict	48169	0.2271	87	10	0
code	262144	212146	zstd-dict	44319	0.2089	80	10	164022
