corpus	raw	size	create_ms	extract_ms	ratio	ok
empty/7z9	0	90	16	14	1.0000	true
empty/aahl	0	101	17	8	1.0000	true
empty/rar	0	73	37	34	1.0000	true
empty/xz	0	32	9	10	1.0000	true
empty/zip6	0	152	16	25	1.0000	true
empty/zstd	0	13	10	9	1.0000	true
precompressed/7z9	2097189	1049543	151	27	0.5005	true
precompressed/aahl	2097189	2097334	29	13	1.0001	true
precompressed/rar	2097189	2097440	111	35	1.0001	true
precompressed/xz	2097189	2097428	449	15	1.0001	true
precompressed/zip6	2097189	2097457	55	25	1.0001	true
precompressed/zstd	2097189	2097266	201	14	1.0000	true
random/7z9	1048576	1048773	95	23	1.0002	true
random/aahl	1048576	1048678	21	10	1.0001	true
random/rar	1048576	1048736	80	32	1.0002	true
random/xz	1048576	1048696	257	12	1.0001	true
random/zip6	1048576	1048730	48	25	1.0001	true
random/zstd	1048576	1048613	97	11	1.0000	true
table/7z9	9128841	1393151	2616	85	0.1526	true
table/aahl	9128841	1674390	49649	194	0.1834	true
table/rar	9128841	1681802	541	55	0.1842	true
table/xz	9128841	1395056	4991	79	0.1528	true
table/zip6	9128841	1688084	1347	70	0.1849	true
table/zstd	9128841	1508699	6403	29	0.1653	true
text-large/7z9	1375929	387951	300	33	0.2820	true
text-large/aahl	1375929	324987	15794	48	0.2362	true
text-large/rar	1375929	415968	105	37	0.3023	true
text-large/xz	1375929	388208	607	22	0.2821	true
text-large/zip6	1375929	443597	235	42	0.3224	true
text-large/zstd	1375929	392441	506	14	0.2852	true
tiny/7z9	1	127	16	14	127.0000	true
tiny/aahl	1	100	19	8	100.0000	true
tiny/rar	1	72	37	30	72.0000	true
tiny/xz	1	68	9	9	68.0000	true
tiny/zip6	1	149	14	14	149.0000	true
tiny/zstd	1	14	10	9	14.0000	true
archive/7z9	16799516	13209686	970	181	0.7863	true
archive/aahl	16799516	16713208	8974	89	0.9949	true
archive/rar	16799516	13271923	483	84	0.7900	true
archive/xz	16799516	13246648	2942	155	0.7885	true
archive/zip6	16799516	14765873	186	88	0.8789	true
archive/zstd	16799516	13251492	1468	33	0.7888	true
cold-image/7z9	4496311	4301432	322	117	0.9567	true
cold-image/aahl	4496311	4403479	1755	127	0.9794	true
cold-image/rar	4496311	4340059	218	140	0.9652	true
cold-image/xz	4496311	4328364	1148	66	0.9626	true
cold-image/zip6	4496311	4356819	119	104	0.9690	true
cold-image/zstd	4496311	4323941	423	19	0.9617	true
executable/7z9	16779568	4115177	2474	213	0.2452	true
executable/aahl	16779568	8306866	165559	573	0.4951	true
executable/rar	16779568	5487223	628	173	0.3270	true
executable/xz	16779568	5289764	4268	228	0.3153	true
executable/zip6	16779568	6558201	531	165	0.3908	true
executable/zstd	16779568	5693095	4197	59	0.3393	true
installer/7z9	9534133	3498525	711	106	0.3669	true
installer/aahl	9534133	4931179	30364	233	0.5172	true
installer/rar	9534133	4115077	331	111	0.4316	true
installer/xz	9534133	4056760	1611	82	0.4255	true
installer/zip6	9534133	4288729	179	102	0.4498	true
installer/zstd	9534133	4141294	1250	32	0.4344	true
