corpus	jobs	run	raw	arc_bytes	arc_blake3	create_ms	extract_ms	ok
random	1	0	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	21	10	true
random	1	1	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	21	10	true
random	1	2	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	10	true
random	1	3	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	10	true
random	1	4	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	11	true
random	4	0	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	10	true
random	4	1	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	11	true
random	4	2	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	10	true
random	4	3	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	10	true
random	4	4	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	10	true
random	8	0	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	10	true
random	8	1	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	12	true
random	8	2	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	10	true
random	8	3	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	10	true
random	8	4	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	24	10	true
table	1	0	9128841	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	51409	192	true
table	1	1	9128841	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	50592	202	true
table	1	2	9128841	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	50704	218	true
table	1	3	9128841	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	49819	197	true
table	1	4	9128841	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	50259	206	true
table	4	0	9128841	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	50182	197	true
table	4	1	9128841	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	49991	199	true
table	4	2	9128841	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	50169	191	true
table	4	3	9128841	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	49778	207	true
table	4	4	9128841	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	49986	191	true
table	8	0	9128841	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	48999	209	true
table	8	1	9128841	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	50195	203	true
table	8	2	9128841	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	49646	203	true
