corpus	chunk	raw	stateless_best	fold	order0	order1_tok	order1_byte	blend	norec_order1_tok	norec_blend	grammar	grammar_norec	grammar_tx	tx_selected	model_bytes	create_ms
precompressed	4096	2097189	2100267	2232993	2130222	2110158	2108030	2109224	2110082	2109151	2100267	2100267	2100267	0	15918256	6
precompressed	16384	2097189	2097963	2136536	2112733	2122920	2111036	2115519	2111552	2103778	2097963	2097963	2097963	0	15918256	4
precompressed	65536	2097189	2097387	2249699	2225681	2589146	2128311	2623054	2128443	2110099	2097387	2097387	2097387	0	15918256	3
precompressed	262144	2097189	2097243	2144908	2137910	2452709	2136404	2510825	2136440	2128208	2097243	2097243	2097243	0	15918256	3
random	4096	1048576	1050112	1116351	1065082	1055047	1053988	1054577	1055012	1054543	1050112	1050112	1050112	0	15918256	2
random	16384	1048576	1048960	1068125	1056346	1061446	1055491	1057745	1055747	1051861	1048960	1048960	1048960	0	15918256	1
random	65536	1048576	1048672	1124719	1112827	1294583	1064131	1311516	1064195	1055020	1048672	1048672	1048672	0	15918256	1
random	262144	1048576	1048600	1072305	1068927	1226325	1068175	1255400	1068191	1064076	1048600	1048600	1048600	0	15918256	0
table	4096	9128841	3180611	3820244	3180611	3486246	5368650	3489991	5377566	5345513	2305605	3180611	2097057	771	22551316	12956
table	16384	9128841	2426008	2664711	2426008	2531325	4128380	2538448	4130612	3964361	2112611	2426008	1941542	192	30354872	14205
table	65536	9128841	1978863	2081142	1978863	2045779	3366785	2065546	3367345	3008739	1979079	1978863	1925233	47	17286152	35386
table	262144	9128841	1738931	1767584	1738931	1783547	3016687	1807263	3016827	2472150	1738931	1738931	1677252	11	15918256	52698
text-large	4096	1375929	805987	937209	805987	824389	907907	824992	909251	913526	415421	560308	415421	0	18668700	1894
text-large	16384	1375929	526912	568606	526912	542115	735709	543870	736045	727200	381971	526912	381971	0	20215160	2142
text-large	65536	1375929	397483	411582	397483	413051	629922	416041	630006	582922	397483	397483	397483	0	15918256	6815
text-large	262144	1375929	342830	348186	342830	352058	580190	353159	580214	479544	342830	342830	342830	0	15918256	10544
tiny	4096	1	7	275	20	20	16	20	20	20	7	7	7	0	15918256	1
tiny	16384	1	7	275	20	20	16	20	20	20	7	7	7	0	15918256	1
tiny	65536	1	7	275	20	20	16	20	20	20	7	7	7	0	15918256	1
tiny	262144	1	7	275	20	20	16	20	20	20	7	7	7	0	15918256	1
