corpus	jobs	runs	raw	ratio	arc_bytes	arc_blake3	create_median_ms	create_min_ms	create_max_ms	extract_median_ms	extract_min_ms	extract_max_ms	speedup_vs_j1	efficiency	deterministic
empty	1	2	0	101.0000	101	f096d90c3f93542e39fdde1fe8a6dcf6870f14652992b03d9cf1f0fa93f69b9a	17	17	18	8	8	8	1.000	1.000	true
empty	4	2	0	101.0000	101	f096d90c3f93542e39fdde1fe8a6dcf6870f14652992b03d9cf1f0fa93f69b9a	17	17	17	8	8	8	1.000	0.250	true
empty	8	2	0	101.0000	101	f096d90c3f93542e39fdde1fe8a6dcf6870f14652992b03d9cf1f0fa93f69b9a	17	17	18	8	8	8	1.000	0.125	true
precompressed	1	2	2097189	1.0001	2097334	f12a3ffea73a30618a9a83e2130c34daef88fd89ba9c7259b4f5db4d2336aa6a	28	28	29	13	13	14	1.000	1.000	true
precompressed	4	2	2097189	1.0001	2097334	f12a3ffea73a30618a9a83e2130c34daef88fd89ba9c7259b4f5db4d2336aa6a	29	29	29	13	13	14	0.966	0.241	true
precompressed	8	2	2097189	1.0001	2097334	f12a3ffea73a30618a9a83e2130c34daef88fd89ba9c7259b4f5db4d2336aa6a	29	29	29	13	13	14	0.966	0.121	true
random	1	2	1048576	1.0001	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	22	24	10	10	10	1.000	1.000	true
random	4	2	1048576	1.0001	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	22	23	10	10	10	1.045	0.261	true
random	8	2	1048576	1.0001	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	22	22	10	10	11	1.045	0.131	true
table	1	2	9128841	0.1686	1538846	f368280196eef73b15cc9d763c6f029fc2583eeb5fccd975ee10bf8e14bfe2d0	148877	148475	149279	169	161	178	1.000	1.000	true
table	4	2	9128841	0.1686	1538846	f368280196eef73b15cc9d763c6f029fc2583eeb5fccd975ee10bf8e14bfe2d0	149801	149564	150039	165	165	166	0.994	0.248	true
table	8	2	9128841	0.1686	1538846	f368280196eef73b15cc9d763c6f029fc2583eeb5fccd975ee10bf8e14bfe2d0	151649	150910	152388	168	165	172	0.982	0.123	true
text-large	1	2	1375929	0.2362	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15727	15594	15861	48	48	48	1.000	1.000	true
text-large	4	2	1375929	0.2362	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15731	15480	15983	49	48	51	1.000	0.250	true
text-large	8	2	1375929	0.2362	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15571	15543	15599	48	48	48	1.010	0.126	true
tiny	1	2	1	100.0000	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	20	20	8	8	8	1.000	1.000	true
tiny	4	2	1	100.0000	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	19	19	20	8	8	8	1.053	0.263	true
tiny	8	2	1	100.0000	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	19	19	20	8	8	8	1.053	0.132	true
