corpus	raw	size	create_ms	extract_ms	ratio	ok
empty/7z9	0	90	20	14	1.0000	true
empty/aahl-v4	0	101	17	9	1.0000	true
empty/aahl-v5	0	101	17	8	1.0000	true
empty/rar	0	73	39	33	1.0000	true
empty/xz	0	32	10	9	1.0000	true
empty/zip6	0	152	31	15	1.0000	true
empty/zstd	0	13	10	9	1.0000	true
precompressed/7z9	2097189	1049543	122	23	0.5005	true
precompressed/aahl-v4	2097189	2097334	28	13	1.0001	true
precompressed/aahl-v5	2097189	2097334	28	13	1.0001	true
precompressed/rar	2097189	2097440	110	38	1.0001	true
precompressed/xz	2097189	2097428	446	14	1.0001	true
precompressed/zip6	2097189	2097457	58	23	1.0001	true
precompressed/zstd	2097189	2097266	202	14	1.0000	true
random/7z9	1048576	1048773	90	20	1.0002	true
random/aahl-v4	1048576	1048678	22	10	1.0001	true
random/aahl-v5	1048576	1048678	22	11	1.0001	true
random/rar	1048576	1048736	82	34	1.0002	true
random/xz	1048576	1048696	240	12	1.0001	true
random/zip6	1048576	1048730	52	22	1.0001	true
random/zstd	1048576	1048613	101	12	1.0000	true
table/7z9	9128841	1393151	2590	85	0.1526	true
table/aahl-v4	9128841	1674390	49675	197	0.1834	true
table/aahl-v5	9128841	1538846	148659	181	0.1686	true
table/rar	9128841	1681802	504	54	0.1842	true
table/xz	9128841	1395056	4811	76	0.1528	true
table/zip6	9128841	1688084	1311	57	0.1849	true
table/zstd	9128841	1508699	6313	28	0.1653	true
text-large/7z9	1375929	387951	293	31	0.2820	true
text-large/aahl-v4	1375929	324987	15648	48	0.2362	true
text-large/aahl-v5	1375929	324987	15656	48	0.2362	true
text-large/rar	1375929	415968	105	40	0.3023	true
text-large/xz	1375929	388208	565	22	0.2821	true
text-large/zip6	1375929	443597	257	29	0.3224	true
text-large/zstd	1375929	392441	500	13	0.2852	true
tiny/7z9	1	127	16	15	127.0000	true
tiny/aahl-v4	1	100	19	8	100.0000	true
tiny/aahl-v5	1	100	19	8	100.0000	true
tiny/rar	1	72	38	34	72.0000	true
tiny/xz	1	68	9	9	68.0000	true
tiny/zip6	1	149	15	14	149.0000	true
tiny/zstd	1	14	10	9	14.0000	true
