corpus	jobs	runs	raw	ratio	arc_bytes	arc_blake3	create_median_ms	create_min_ms	create_max_ms	extract_median_ms	extract_min_ms	extract_max_ms	speedup_vs_j1	efficiency	deterministic
empty	1	5	0	101.0000	101	f096d90c3f93542e39fdde1fe8a6dcf6870f14652992b03d9cf1f0fa93f69b9a	17	17	18	8	8	8	1.000	1.000	true
empty	2	5	0	101.0000	101	f096d90c3f93542e39fdde1fe8a6dcf6870f14652992b03d9cf1f0fa93f69b9a	17	17	18	8	8	8	1.000	0.500	true
empty	4	5	0	101.0000	101	f096d90c3f93542e39fdde1fe8a6dcf6870f14652992b03d9cf1f0fa93f69b9a	18	17	18	8	8	9	0.944	0.236	true
empty	8	5	0	101.0000	101	f096d90c3f93542e39fdde1fe8a6dcf6870f14652992b03d9cf1f0fa93f69b9a	18	18	18	8	8	10	0.944	0.118	true
precompressed	1	5	2097189	1.0001	2097334	f12a3ffea73a30618a9a83e2130c34daef88fd89ba9c7259b4f5db4d2336aa6a	29	29	30	13	13	14	1.000	1.000	true
precompressed	2	5	2097189	1.0001	2097334	f12a3ffea73a30618a9a83e2130c34daef88fd89ba9c7259b4f5db4d2336aa6a	30	29	30	13	13	14	0.967	0.483	true
precompressed	4	5	2097189	1.0001	2097334	f12a3ffea73a30618a9a83e2130c34daef88fd89ba9c7259b4f5db4d2336aa6a	32	29	33	14	14	15	0.906	0.227	true
precompressed	8	5	2097189	1.0001	2097334	f12a3ffea73a30618a9a83e2130c34daef88fd89ba9c7259b4f5db4d2336aa6a	31	30	34	15	13	15	0.935	0.117	true
random	1	5	1048576	1.0001	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	22	24	10	10	12	1.000	1.000	true
random	2	5	1048576	1.0001	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	22	23	10	10	11	1.000	0.500	true
random	4	5	1048576	1.0001	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	22	24	10	10	12	1.000	0.250	true
random	8	5	1048576	1.0001	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	25	23	26	12	10	13	0.920	0.115	true
text-large	1	5	1375929	0.2362	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15918	15720	16255	48	47	50	1.000	1.000	true
text-large	2	5	1375929	0.2362	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15757	15633	16018	48	47	50	1.010	0.505	true
text-large	4	5	1375929	0.2362	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	16047	15732	16411	48	48	57	0.992	0.248	true
text-large	8	5	1375929	0.2362	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	16129	15861	16316	47	46	49	0.987	0.123	true
tiny	1	5	1	100.0000	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	20	20	9	8	11	1.000	1.000	true
tiny	2	5	1	100.0000	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	19	20	8	8	9	1.000	0.500	true
tiny	4	5	1	100.0000	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	19	20	8	8	9	1.000	0.250	true
tiny	8	5	1	100.0000	100	f8e89a9cbb3c7ab5ce2fd3711711a6bbf829fb987dfd74776f58766e176cd030	20	20	22	9	8	9	1.000	0.125	true
