corpus	raw	size	create_ms	extract_ms	ratio	ok
empty/7z9	0	90	14	20	1.0000	true
empty/aahl	0	101	14	8	1.0000	true
empty/rar	0	73	37	32	1.0000	true
empty/xz	0	32	10	9	1.0000	true
empty/zip6	0	152	16	27	1.0000	true
empty/zstd	0	13	10	9	1.0000	true
precompressed/7z9	2097189	1049543	115	25	0.5005	true
precompressed/aahl	2097189	2097334	25	13	1.0001	true
precompressed/rar	2097189	2097440	111	36	1.0001	true
precompressed/xz	2097189	2097428	461	14	1.0001	true
precompressed/zip6	2097189	2097457	52	23	1.0001	true
precompressed/zstd	2097189	2097266	200	15	1.0000	true
random/7z9	1048576	1048773	83	22	1.0002	true
random/aahl	1048576	1048678	18	11	1.0001	true
random/rar	1048576	1048736	84	32	1.0002	true
random/xz	1048576	1048696	244	12	1.0001	true
random/zip6	1048576	1048730	45	22	1.0001	true
random/zstd	1048576	1048613	99	12	1.0000	true
table/7z9	9128841	1393151	2442	86	0.1526	true
table/aahl	9128841	1918871	27169	165	0.2102	true
table/rar	9128841	1681802	500	57	0.1842	true
table/xz	9128841	1395056	4987	81	0.1528	true
table/zip6	9128841	1688084	1301	68	0.1849	true
table/zstd	9128841	1508699	6147	27	0.1653	true
text-large/7z9	1375929	387951	285	31	0.2820	true
text-large/aahl	1375929	413040	3830	50	0.3002	true
text-large/rar	1375929	415968	100	38	0.3023	true
text-large/xz	1375929	388208	564	22	0.2821	true
text-large/zip6	1375929	443597	233	40	0.3224	true
text-large/zstd	1375929	392441	508	13	0.2852	true
tiny/7z9	1	127	15	14	127.0000	true
tiny/aahl	1	100	15	8	100.0000	true
tiny/rar	1	72	35	31	72.0000	true
tiny/xz	1	68	9	9	68.0000	true
tiny/zip6	1	149	14	14	149.0000	true
tiny/zstd	1	14	9	9	14.0000	true
