corpus	raw	size	create_ms	extract_ms	ratio	ok
empty/7z9	0	90	14	15	1.0000	true
empty/aahl	0	101	14	8	1.0000	true
empty/rar	0	73	40	32	1.0000	true
empty/xz	0	32	12	13	1.0000	true
empty/zip6	0	152	15	24	1.0000	true
empty/zstd	0	13	12	11	1.0000	true
precompressed/7z9	2097189	1049543	157	25	0.5005	true
precompressed/aahl	2097189	2097334	53	25	1.0001	true
precompressed/rar	2097189	2097440	141	40	1.0001	true
precompressed/xz	2097189	2097428	491	15	1.0001	true
precompressed/zip6	2097189	2097457	68	32	1.0001	true
precompressed/zstd	2097189	2097266	220	16	1.0000	true
random/7z9	1048576	1048773	101	25	1.0002	true
random/aahl	1048576	1048678	20	10	1.0001	true
random/rar	1048576	1048736	102	68	1.0002	true
random/xz	1048576	1048696	246	12	1.0001	true
random/zip6	1048576	1048730	49	23	1.0001	true
random/zstd	1048576	1048613	134	14	1.0000	true
table/7z9	9128841	1393151	2787	88	0.1526	true
table/aahl	9128841	1918871	30915	230	0.2102	true
table/rar	9128841	1681802	564	65	0.1842	true
table/xz	9128841	1395056	6002	95	0.1528	true
table/zip6	9128841	1688084	1338	70	0.1849	true
table/zstd	9128841	1508699	6746	29	0.1653	true
text-large/7z9	1375929	387951	303	32	0.2820	true
text-large/aahl	1375929	413040	3893	48	0.3002	true
text-large/rar	1375929	415968	110	38	0.3023	true
text-large/xz	1375929	388208	600	25	0.2821	true
text-large/zip6	1375929	443597	238	43	0.3224	true
text-large/zstd	1375929	392441	535	13	0.2852	true
tiny/7z9	1	127	16	20	127.0000	true
tiny/aahl	1	100	16	8	100.0000	true
tiny/rar	1	72	36	30	72.0000	true
tiny/xz	1	68	10	9	68.0000	true
tiny/zip6	1	149	14	21	149.0000	true
tiny/zstd	1	14	9	9	14.0000	true
